110,27-08-2015,3.2289999999999996,14.008,1041,6,544.0,334,18,35,1.828
111,28-08-2015,3.3560000000000003,12.149000000000001,903,11,1.051,369,9,11,1.861
112,29-08-2015,3.89,19.977,1484,26,648.0,395,23,74,2.54
113,30-08-2015,2.9610000000000003,11.924000000000001,891,64,1.421,0,0,0,0.0
114,31-08-2015,3.136,10.757,799,15,1.187,145,43,65,1.5319999999999998
115,01-09-2015,3.681,12.229000000000001,911,24,689.0,421,17,16,2.2
116,02-09-2015,3.009,10.33,768,16,770.0,248,16,15,1.369
117,03-09-2015,3.094,11.689,869,11,1.043,182,50,51,1.53
118,04-09-2015,3.5180000000000002,15.627,1161,26,606.0,284,50,55,2.063
119,05-09-2015,2.885,10.681,794,1,656.0,240,15,30,1.3559999999999999
120,06-09-2015,2.745,7.907,588,0,654.0,287,0,0,1.217
121,07-09-2015,2.8289999999999997,9.487,705,17,1.156,152,40,28,1.197
122,08-09-2015,2.742,8.253,613,11,1.137,91,16,29,763.0
123,09-09-2015,4.351,22.238000000000003,1652,16,355.0,407,87,85,3.181
124,10-09-2015,2.967,10.65,791,15,940.0,198,38,42,1.421
125,11-09-2015,3.054,12.038,894,14,700.0,201,44,57,1.53
126,12-09-2015,2.937,11.48,853,2,462.0,315,8,13,1.4809999999999999
127,13-09-2015,2.977,9.199,684,5,600.0,361,15,8,1.564
128,14-09-2015,2.947,9.564,711,16,1.1179999999999999,168,43,46,1.355
129,15-09-2015,2.821,9.019,67,13,755.0,144,72,25,1.247
130,16-09-2015,3.0410000000000004,10.238999999999999,761,13,675.0,192,35,46,1.464
131,17-09-2015,2.7960000000000003,7.739,575,14,741.0,211,17,10,1.14
132,18-09-2015,2.978,12.62,938,9,773.0,170,59,39,1.419
133,19-09-2015,3.16,14.225999999999999,1057,11,669.0,291,35,41,1.736
134,20-09-2015,2.325,3.858,287,1,1.255,185,0,0,700.0
135,21-09-2015,3.458,17.602999999999998,1308,35,1.053,223,56,67,1.912
136,22-09-2015,2.988,10.699000000000002,795,17,655.0,252,32,21,1.4709999999999999
137,23-09-2015,2.5610000000000004,7.261,539,17,908.0,135,14,18,869.0
138,24-09-2015,3.159,10.607999999999999,788,17,1.107,177,63,52,1.6
139,25-09-2015,3.193,12.270999999999999,912,7,548.0,323,34,24,1.7990000000000002
140,26-09-2015,2.9339999999999997,9.998,745,2,782.0,327,0,0,1.431
141,27-09-2015,2.589,5.757000000000001,428,1,800.0,270,0,0,1.033
142,28-09-2015,2.8739999999999997,8.995,668,13,826.0,171,45,33,1.29
143,29-09-2015,2.7569999999999997,7.553,561,13,789.0,163,54,15,1.146
144,30-09-2015,2.714,6.494,483,11,711.0,208,26,5,1.092
145,01-10-2015,2.7119999999999997,7.9510000000000005,591,11,667.0,191,40,9,1.126
146,02-10-2015,2.8089999999999997,7.4239999999999995,552,8,801.0,179,43,25,1.206
147,03-10-2015,2.322,6.813,506,0,1.315,75,41,9,667.0
148,04-10-2015,2.319,3.991,297,1,1.136,163,0,0,645.0
149,05-10-2015,2.859,9.725,723,6,988.0,268,24,14,1.3780000000000001
150,06-10-2015,2.978,8.936,664,16,780.0,205,46,27,1.383
151,07-10-2015,2.678,6.565,488,10,841.0,157,27,20,1.0090000000000001
152,08-10-2015,2.767,7.865,584,15,1.1179999999999999,204,32,13,1.178
153,09-10-2015,2.549,8.718,648,10,976.0,65,0,0,258.0
154,10-10-2015,2.918,12.364,922,0,1.046,234,29,32,1.423
155,11-10-2015,2.509,5.216,388,1,1.2429999999999999,175,17,5,878.0
156,12-10-2015,2.687,6.58,489,10,1.246,104,57,33,1.0590000000000002
157,13-10-2015,2.698,7.015,521,10,1.244,130,37,29,1.036
158,14-10-2015,2.6210000000000004,8.103,602,5,1.219,215,4,2,1.0170000000000001
159,15-10-2015,2.698,6.962000000000001,517,11,1.234,115,57,28,1.075
160,16-10-2015,3.295,16.477999999999998,123,12,643.0,304,8,43,1.8330000000000002
161,17-10-2015,2.8710000000000004,11.603,862,3,732.0,236,38,22,1.3840000000000001
162,18-10-2015,2.8989999999999996,11.429,849,0,962.0,269,8,17,1.39
163,19-10-2015,2.5810000000000004,6.292999999999999,468,1,854.0,226,0,0,956.0
164,20-10-2015,2.6719999999999997,7.269,54,14,1.29,105,22,23,791.0
165,21-10-2015,2.406,4.471,332,2,1.1340000000000001,165,0,0,686.0
166,22-10-2015,3.41,17.913,1331,7,1.053,210,39,75,1.851
167,23-10-2015,2.511,5.431,404,1,678.0,166,9,13,808.0
168,24-10-2015,2.907,11.672,867,0,663.0,222,48,29,1.401
169,25-10-2015,3.435,14.777000000000001,1098,0,597.0,302,57,39,1.943
170,26-10-2015,2.931,9.171,681,9,767.0,273,30,7,1.4140000000000001
171,27-10-2015,2.867,8.807,654,11,810.0,224,29,12,1.275
172,28-10-2015,2.47,5.622999999999999,418,2,779.0,170,19,3,817.0
173,29-10-2015,3.109,12.91,959,20,1.091,258,24,20,1.5190000000000001
174,30-10-2015,2.9419999999999997,8.805,654,12,821.0,170,51,29,1.264
175,31-10-2015,2.736,7.107,528,0,510.0,277,0,0,1.162
176,01-11-2015,2.395,3.862,287,0,889.0,166,0,0,661.0
177,02-11-2015,2.59,7.367999999999999,547,13,1.2790000000000001,126,22,13,777.0
178,03-11-2015,2.403,6.269,466,9,1.43,10,0,0,37.0
179,04-11-2015,2.917,8.52,633,14,662.0,191,43,24,1.294
180,05-11-2015,2.8510000000000004,8.116,603,13,827.0,228,37,8,1.258
181,06-11-2015,2.82,8.267999999999999,614,14,776.0,145,75,22,1.218
182,07-11-2015,3.69,14.489,1077,0,525.0,280,52,68,2.285
183,08-11-2015,3.0669999999999997,9.212,684,2,508.0,198,27,53,1.51
184,09-11-2015,2.8280000000000003,9.5,706,0,756.0,218,28,13,1.225
185,10-11-2015,3.3360000000000003,11.151,829,1,705.0,198,40,79,1.7990000000000002
186,11-11-2015,2.867,12.350999999999999,918,1,981.0,181,66,24,1.3530000000000002
187,12-11-2015,2.847,10.67,793,1,684.0,162,17,61,1.228
188,13-11-2015,2.46,5.574,414,1,1.209,156,8,16,778.0
189,14-11-2015,3.445,11.587,861,4,608.0,159,41,103,1.953
190,15-11-2015,2.853,9.499,706,2,738.0,167,28,44,1.219
191,16-11-2015,3.59,13.788,1053,18,978.0,282,31,61,1.99
192,17-11-2015,3.792,18.361,1372,33,543.0,366,73,42,2.4619999999999997
193,18-11-2015,3.222,14.055,1044,10,673.0,268,53,27,1.771
194,19-11-2015,3.092,11.927,886,9,726.0,305,21,37,1.65
195,20-11-2015,3.395,15.220999999999998,1131,6,464.0,316,40,58,2.004
196,21-11-2015,2.802,8.568,642,1,1.1740000000000002,249,3,14,1.209
197,22-11-2015,2.177,3.284,244,0,1.2690000000000001,98,3,8,477.0
198,23-11-2015,3.035,9.408,699,1,682.0,295,31,14,1.5519999999999998
199,24-11-2015,2.843,10.261,762,1,1.182,210,2,46,1.262
200,25-11-2015,2.8289999999999997,8.218,611,22,1.1420000000000001,155,50,22,1.177
201,26-11-2015,3.076,9.76,725,13,1.13,214,61,30,1.5019999999999998
202,27-11-2015,3.242,10.769,8,17,725.0,222,60,42,1.7109999999999999
203,28-11-2015,3.2539999999999996,11.671,87,5,643.0,375,7,15,1.776
204,29-11-2015,3.247,14.444,1073,14,618.0,258,39,51,1.821
205,30-11-2015,4.012,23.313000000000002,1732,16,550.0,389,67,75,2.7430000000000003
206,01-12-2015,3.2319999999999998,16.81,1249,14,750.0,152,9,97,1.618
207,02-12-2015,3.125,10.745,801,10,634.0,174,48,62,1.5590000000000002
208,03-12-2015,3.165,10.784,804,14,774.0,201,25,68,1.6
209,04-12-2015,2.835,10.74,808,11,1.1,146,39,52,1.271
210,05-12-2015,2.872,8.531,636,0,723.0,325,0,0,1.354
211,06-12-2015,3.072,12.738,946,10,811.0,244,45,35,1.579
212,07-12-2015,3.1069999999999998,13.52,1007,13,672.0,261,13,50,1.6030000000000002
213,08-12-2015,3.801,15.884,1183,2,962.0,248,25,123,2.3930000000000002
214,09-12-2015,3.062,10.026,745,17,803.0,204,29,38,1.449
215,10-12-2015,3.0439999999999996,11.868,884,17,1.19,170,26,54,1.411
216,11-12-2015,3.082,12.380999999999998,922,17,1.0959999999999999,212,30,52,1.5030000000000001
217,12-12-2015,2.766,7.157,532,11,605.0,290,0,0,1.216
218,13-12-2015,2.787,7.055,524,2,690.0,248,19,6,1.182
219,14-12-2015,2.8310000000000004,9.347999999999999,699,18,827.0,179,22,42,1.229
220,15-12-2015,2.7110000000000003,8.566,639,15,898.0,137,28,33,1.038
221,16-12-2015,2.714,9.786,727,20,1.1179999999999999,159,29,28,1.11
222,17-12-2015,2.7089999999999996,8.371,622,18,1.069,146,31,24,1.05
223,18-12-2015,2.917,9.427999999999999,701,10,1.141,220,43,21,1.331
224,19-12-2015,3.11,13.742,1021,6,579.0,357,15,22,1.734
225,20-12-2015,3.391,15.636,1173,2,550.0,316,56,23,1.973
226,21-12-2015,3.145,12.777999999999999,949,15,664.0,313,42,6,1.6780000000000002
227,22-12-2015,2.636,7.377999999999999,548,12,838.0,176,33,12,1.044
228,23-12-2015,1.7890000000000001,0.0,0,0,1.44,0,0,0,0.0
229,24-12-2015,2.573,6.452000000000001,479,0,1.217,223,0,0,962.0
230,25-12-2015,2.8080000000000003,7.837000000000001,582,0,663.0,332,0,0,1.311
231,26-12-2015,2.6260000000000003,6.504,483,0,588.0,282,0,0,1.089
232,27-12-2015,2.6039999999999996,6.444,484,1,746.0,252,0,0,1.03
233,28-12-2015,2.845,7.845,583,2,686.0,337,0,0,1.359
234,29-12-2015,3.135,12.26,911,11,636.0,375,3,26,1.7180000000000002
235,30-12-2015,3.05,12.154000000000002,905,9,617.0,276,6,45,1.567
236,31-12-2015,2.8560000000000003,7.801,58,0,577.0,362,0,0,1.3940000000000001
237,01-01-2016,2.992,10.46,792,0,685.0,375,0,0,1.558
238,02-01-2016,3.265,13.837,1033,7,601.0,339,15,36,1.841
239,03-01-2016,3.09,12.517000000000001,93,11,1.034,272,9,49,1.5659999999999998
240,04-01-2016,3.116,10.366,77,16,650.0,235,53,30,1.59
241,05-01-2016,3.241,12.127,913,16,682.0,284,47,28,1.76
242,06-01-2016,2.992,11.327,842,14,613.0,314,5,32,1.53
243,07-01-2016,3.1460000000000004,11.097999999999999,825,15,720.0,247,53,30,1.63
244,08-01-2016,3.174,12.395,923,2,567.0,405,7,8,1.8119999999999998
245,09-01-2016,2.615,6.643,494,0,676.0,283,0,0,1.093
246,10-01-2016,2.7110000000000003,8.846,657,9,1.167,183,36,29,1.197
247,11-01-2016,3.013,9.642000000000001,716,15,758.0,247,44,24,1.472
248,12-01-2016,2.9930000000000003,9.982000000000001,742,8,839.0,222,30,26,1.3869999999999998
249,13-01-2016,2.627,6.6129999999999995,491,11,857.0,205,13,3,1.02
250,14-01-2016,3.128,12.161,921,11,719.0,198,34,60,1.56
251,15-01-2016,3.361,14.837,1137,11,687.0,210,58,71,1.9169999999999998
252,16-01-2016,3.3789999999999996,16.759,1259,7,589.0,333,23,59,1.9769999999999999
253,17-01-2016,2.878,9.602,726,0,547.0,279,4,15,1.314
254,18-01-2016,2.144,3.761,279,7,998.0,99,5,3,467.0
255,19-01-2016,2.543,7.456,56,6,1.215,103,22,35,881.0
256,20-01-2016,3.472,16.755,1278,10,551.0,331,24,51,2.073
257,21-01-2016,3.218,11.937000000000001,896,12,699.0,254,57,32,1.729
258,22-01-2016,3.426,14.577,1096,5,519.0,391,34,22,2.11
259,23-01-2016,3.615,17.541,1312,9,570.0,358,50,45,2.286
260,24-01-2016,1.801,39.0,3,0,1.0759999999999998,5,0,0,16.0
261,25-01-2016,2.42,6.61,491,10,1.27,93,24,26,756.0
262,26-01-2016,3.0660000000000003,13.073,971,18,790.0,166,52,61,1.521
263,27-01-2016,2.886,9.997,746,9,759.0,164,52,28,1.291
264,28-01-2016,3.092,10.707,796,10,753.0,262,57,18,1.5919999999999999
265,29-01-2016,2.931,9.952,739,17,760.0,233,30,26,1.4
266,30-01-2016,3.034,9.774,726,0,519.0,357,16,2,1.641
267,31-01-2016,2.787,6.26,465,0,671.0,298,0,0,1.2770000000000001
268,01-02-2016,2.986,11.425999999999998,852,12,911.0,192,48,43,1.4780000000000002
269,02-02-2016,2.9739999999999998,10.466,778,13,802.0,152,48,48,1.3330000000000002
270,03-02-2016,3.199,12.866,963,11,767.0,271,45,28,1.703
271,04-02-2016,2.037,2.449,187,0,821.0,80,0,0,337.0
272,05-02-2016,3.11,10.434000000000001,775,13,718.0,243,42,29,1.544
273,05-02-2016,3.11,10.434000000000001,775,13,718.0,243,42,29,1.544
274,06-02-2016,3.177,12.578,94,0,563.0,388,10,11,1.784
275,07-02-2016,3.182,15.373,117,12,599.0,273,10,62,1.729
276,08-02-2016,3.2060000000000004,12.327,924,8,699.0,278,28,30,1.68
277,09-02-2016,2.872,10.457,782,14,847.0,181,15,41,1.252
278,10-02-2016,2.662,9.9,743,21,1.237,156,6,41,1.0979999999999999
279,11-02-2016,2.8989999999999996,8.966000000000001,666,14,802.0,235,21,20,1.2990000000000002
280,12-02-2016,2.8160000000000003,8.353,621,19,732.0,219,17,26,1.187
281,13-02-2016,3.235,13.907,1036,0,551.0,357,15,15,1.8130000000000002
282,14-02-2016,3.2889999999999997,14.183,1054,13,617.0,374,45,12,1.9409999999999998
283,15-02-2016,2.7510000000000003,8.453,628,11,1.304,124,8,4,589.0
284,16-02-2016,2.927,7.995,598,15,802.0,231,34,16,1.347
285,17-02-2016,2.783,6.707000000000001,498,10,913.0,174,36,19,1.131
286,18-02-2016,2.804,8.109,61,13,1.212,143,42,33,1.146
287,19-02-2016,2.815,11.970999999999998,923,11,865.0,179,3,51,1.234
288,20-02-2016,2.96,11.370999999999999,845,0,457.0,327,14,19,1.5330000000000001
289,21-02-2016,2.0380000000000003,2.19,163,0,954.0,93,0,0,351.0
290,22-02-2016,2.594,6.5920000000000005,493,10,1.234,155,23,14,958.0
291,23-02-2016,2.841,8.624,641,10,739.0,193,36,25,1.22
292,24-02-2016,2.9330000000000003,8.307,617,12,762.0,195,25,37,1.305
293,25-02-2016,2.8160000000000003,7.941,59,9,878.0,142,47,32,1.1840000000000002
294,26-02-2016,2.764,8.05,598,9,1.203,177,40,20,1.15
295,27-02-2016,3.029,9.923,737,5,1.124,184,25,44,1.306
296,28-02-2016,2.844,9.504,715,2,687.0,283,10,1,1.3219999999999998
297,29-02-2016,2.612,6.847,509,10,731.0,206,20,1,1.023
298,01-03-2016,3.117,11.618,866,12,776.0,217,59,29,1.584
299,02-03-2016,2.897,10.45,776,19,765.0,199,35,26,1.2919999999999998
300,03-03-2016,2.864,11.478,869,17,749.0,167,5,45,1.219
301,04-03-2016,2.9960000000000004,10.65,797,13,754.0,227,31,30,1.42
302,05-03-2016,2.228,3.103,231,1,1.042,155,0,0,572.0
303,06-03-2016,2.66,6.96,52,0,1.105,280,0,0,1.103
304,07-03-2016,3.22,16.699,134,11,791.0,158,9,97,1.6640000000000001
305,08-03-2016,3.083,14.068,1126,14,824.0,167,8,65,1.469
306,09-03-2016,3.339,18.092,1405,19,1.12,243,8,69,1.8330000000000002
307,10-03-2016,3.307,18.53,1471,20,793.0,162,21,100,1.766
308,11-03-2016,3.135,14.587,1086,2,1.013,313,14,38,1.726
309,12-03-2016,2.84,9.992,745,4,685.0,339,0,13,1.4380000000000002
310,13-03-2016,1.79,0.0,0,0,1.44,0,0,0,0.0
311,14-03-2016,2.5380000000000003,9.336,74,11,1.288,73,4,50,850.0
312,15-03-2016,3.133,15.595999999999998,1261,13,782.0,187,3,77,1.557
313,16-03-2016,3.96,25.385,2045,17,638.0,254,17,124,2.556
314,17-03-2016,3.15,14.577,1146,17,823.0,162,10,81,1.5530000000000002
315,18-03-2016,3.214,16.667,1308,12,832.0,173,9,90,1.6469999999999998
316,19-03-2016,3.87,13.360999999999999,993,7,530.0,418,38,50,2.548
317,20-03-2016,2.7310000000000003,6.754,502,1,564.0,315,0,0,1.237
318,21-03-2016,2.464,5.4239999999999995,403,10,1.047,193,7,2,859.0
319,22-03-2016,3.555,17.913,1341,15,593.0,382,22,55,2.2430000000000003
320,23-03-2016,3.063,14.324000000000002,1089,14,669.0,222,10,59,1.5419999999999998
321,24-03-2016,2.503,8.049,603,8,1.09,123,3,24,817.0
322,25-03-2016,3.052,11.122,829,0,599.0,386,9,0,1.646
323,26-03-2016,3.0210000000000004,9.57,711,1,879.0,395,0,0,1.587
324,27-03-2016,2.2230000000000003,4.667,347,0,889.0,114,20,2,588.0
325,28-03-2016,1.79,0.0,0,0,1.44,0,0,0,0.0
326,29-03-2016,2.648,9.781,734,12,1.23,139,6,39,1.0090000000000001
327,30-03-2016,3.7680000000000002,21.383000000000003,1669,17,641.0,384,23,57,2.417
328,31-03-2016,3.512,20.109,1518,21,629.0,302,35,63,2.1069999999999998
329,01-04-2016,2.8139999999999996,11.13,861,8,900.0,162,3,54,1.176
330,02-04-2016,2.884,8.25,613,0,950.0,314,7,1,1.335
331,03-04-2016,2.931,8.682,645,0,669.0,355,0,0,1.4369999999999998
332,04-04-2016,3.3139999999999996,17.535,1366,14,881.0,168,8,102,1.7309999999999999
333,05-04-2016,3.83,20.154,1505,3,445.0,471,28,45,2.58
334,06-04-2016,4.112,23.285999999999998,1784,19,561.0,451,28,67,2.85
335,07-04-2016,3.048,13.004000000000001,987,14,856.0,214,3,58,1.472
336,08-04-2016,3.241,13.440999999999999,1004,2,449.0,439,0,0,1.874
337,09-04-2016,3.0380000000000003,10.216000000000001,759,0,535.0,390,0,0,1.607
